@RELATION cleaned_computed_insight_success_of_active_sellers_grouped

@ATTRIBUTE listed_products NUMERIC
@ATTRIBUTE total_units_sold NUMERIC
@ATTRIBUTE mean_units_sold_per_product NUMERIC
@ATTRIBUTE rating NUMERIC
@ATTRIBUTE merchant_ratings_count NUMERIC
@ATTRIBUTE mean_product_prices NUMERIC
@ATTRIBUTE mean_retail_prices NUMERIC
@ATTRIBUTE average_discount NUMERIC
@ATTRIBUTE mean_product_ratings_count NUMERIC
@ATTRIBUTE total_urgency_count NUMERIC
@ATTRIBUTE urgency_text_rate_group {none,low,medium,high}

@DATA
1,5000,5000.0,3.687,1686.0,7.0,6.0,-16.0,1212.0,0.0,none
1,5000,5000.0,3.795,12348.0,18.0,27.0,34.0,1058.0,0.0,none
1,5000,5000.0,3.8,9678.0,8.0,8.0,0.0,555.0,0.0,none
1,5000,5000.0,3.819,24095.0,15.0,13.0,-15.0,1072.0,0.0,none
1,5000,5000.0,3.821,1029.0,9.0,8.0,-12.0,429.0,0.0,none
1,5000,5000.0,3.843,4830.0,11.0,17.0,36.0,692.0,1.0,high
1,5000,5000.0,3.864,7631.0,8.0,50.0,84.0,1057.0,1.0,high
1,5000,5000.0,3.873,2608.0,11.0,108.0,90.0,299.0,0.0,none
1,5000,5000.0,3.897,3990.0,12.0,16.0,25.0,701.0,0.0,none
1,5000,5000.0,3.904,2510.0,8.0,7.0,-14.0,876.0,1.0,high
1,5000,5000.0,3.911,4571.0,13.0,17.0,24.0,792.0,1.0,high
1,5000,5000.0,3.923,1411.0,6.0,6.0,0.0,609.0,0.0,none
1,5000,5000.0,3.946,5365.0,8.0,7.0,-14.0,309.0,1.0,high
1,5000,5000.0,3.946,1490.0,11.0,12.0,9.0,1045.0,0.0,none
1,5000,5000.0,3.946,17244.0,13.0,51.0,75.0,127.0,1.0,high
1,5000,5000.0,3.949,9926.0,6.0,41.0,86.0,939.0,0.0,none
1,5000,5000.0,3.958,5660.0,11.0,10.0,-10.0,1897.0,0.0,none
1,5000,5000.0,3.96,15173.0,19.0,17.0,-11.0,1163.0,1.0,high
1,5000,5000.0,3.96,7874.0,14.0,27.0,49.0,1442.0,1.0,high
